0	2	4
2	2	5
4	2	6
6	3	4
8	3	5
10	3	6
12	4	4
14	4	5
16	4	6
18	5	4
20	5	5
22	5	6
24	6	4
26	6	5
28	6	6
30	7	4
32	7	5
34	7	6
36	8	4
38	8	5
40	8	6
113	9	5
115	9	4
117	10	5
119	10	4
121	11	5
123	11	4
125	12	5
127	12	4
42	13	5
44	13	4
46	14	5
80	14	4
82	15	5
84	15	4
86	16	5
88	16	4
90	17	5
92	17	4
94	18	5
96	18	4
98	19	5
100	19	4
102	20	5
104	20	3
106	20	4
108	21	5
110	21	4
112	21	1
114	21	2
116	21	3
118	22	5
120	22	4
122	22	1
124	22	2
126	22	3
1	2	1
3	2	2
5	2	3
7	3	1
9	3	2
11	3	3
13	4	1
15	4	2
17	4	3
19	5	1
21	5	2
23	5	3
25	6	1
27	6	2
29	7	1
31	6	3
33	7	2
35	7	3
37	8	1
39	8	2
41	8	3
43	9	1
45	9	2
47	9	3
49	10	1
51	10	2
53	10	3
55	11	1
57	11	2
59	11	3
61	12	1
63	12	2
65	12	3
67	13	1
69	13	2
71	13	3
73	14	1
75	14	2
77	14	3
79	15	1
81	15	2
83	15	3
85	16	1
87	16	2
89	16	3
91	17	1
93	17	2
111	17	3
107	18	1
101	18	2
97	18	3
109	19	1
105	19	2
103	19	3
99	20	1
95	20	2
