ule Net	ier J5 Net	
		
mtime	time_A	
		
		
		
		
1	2	9
3	2	10
5	2	11
7	3	9
9	3	10
		
11	3	11
13	4	9
15	4	10
17	4	11
19	5	9
21	5	10
23	5	11
25	6	9
27	6	10
29	6	11
		
31	7	9
33	7	10
35	7	11
37	8	9
39	8	10
41	8	11
112	9	9
114	9	10
116	9	11
118	10	9
		
120	10	10
122	10	11
124	11	9
126	11	10
43	11	11
45	12	9
47	12	10
81	12	11
83	13	9
85	13	10
		
87	13	11
89	14	9
91	14	10
93	14	11
95	15	9
97	15	10
99	15	11
101	16	9
103	16	10
105	17	9
ter_Trigg	er_Trigg_A	
107	17	10
109	18	9
111	18	10
113	19	9
115	19	10
117	20	9
119	20	10
121	21	9
123	21	10
125	22	9
		
127	22	10
		
		
		
		
		
		
		
		
0	2	8
2	2	7
4	3	8
6	3	7
8	4	8
		
10	4	7
12	5	8
14	5	7
16	6	8
18	6	7
20	7	8
22	7	7
24	8	8
26	8	7
28	9	8
		
30	9	7
32	9	6
34	10	8
36	10	7
38	10	6
40	11	8
42	11	7
44	11	6
46	12	8
48	12	7
		
50	12	6
52	13	8
54	13	7
56	13	6
58	14	8
60	14	7
62	14	6
64	15	8
66	15	7
68	15	6
		
70	16	8
72	16	7
74	16	6
76	17	8
78	17	7
80	17	6
82	18	8
84	18	7
86	18	6
88	19	8
		
90	19	7
92	19	6
110	20	8
106	20	7
100	20	6
96	21	8
108	21	7
104	21	6
102	22	8
98	22	7
		
94	22	6
		
		
