Module Pin,Module Net,Carrier J1,Carrier J2,Carrier J3,Carrier J4,Carrier J5,Carrier J6
A1,P2,P2B,P2B,P2B,P2A,P2A,P2A
A10,Heimtime,Heimtime_B,Heimtime_B,Heimtime_B,Heimtime_A,Heimtime_A,Heimtime_A
A11,GND,GND,GND,GND,GND,GND,GND
A12,GND,GND,GND,GND,GND,GND,GND
A13,GND,GND,GND,GND,GND,GND,GND
A14,GND,GND,GND,GND,GND,GND,GND
A15,Ch_0,Col_43-Row_1,Col_43-Row_7,Col_43-Row_14,Col_2-Row_4,Col_2-Row_9,Col_4-Row_15
A16,Ch_2,Col_43-Row_2,Col_43-Row_8,Col_43-Row_15,Col_2-Row_5,Col_2-Row_10,Col_4-Row_16
A17,Ch_4,Col_43-Row_3,Col_42-Row_7,Col_43-Row_16,Col_2-Row_6,Col_2-Row_11,Col_5-Row_14
A18,Ch_6,Col_42-Row_1,Col_42-Row_8,Col_42-Row_14,Col_3-Row_4,Col_3-Row_9,Col_5-Row_15
A19,Ch_8,Col_42-Row_2,Col_41-Row_7,Col_42-Row_15,Col_3-Row_5,Col_3-Row_10,Col_5-Row_16
A2,P2,P2B,P2B,P2B,P2A,P2A,P2A
A20,Ch_10,Col_42-Row_3,Col_41-Row_8,Col_42-Row_16,Col_3-Row_6,Col_3-Row_11,Col_6-Row_14
A21,Ch_12,Col_41-Row_1,Col_40-Row_7,Col_41-Row_14,Col_4-Row_4,Col_4-Row_9,Col_6-Row_15
A22,Ch_14,Col_41-Row_2,Col_40-Row_8,Col_43-Row_13,Col_4-Row_5,Col_4-Row_10,Col_6-Row_16
A23,Ch_16,Col_41-Row_3,Col_39-Row_7,Col_43-Row_12,Col_4-Row_6,Col_4-Row_11,Col_7-Row_14
A24,Ch_18,Col_40-Row_1,Col_39-Row_8,Col_42-Row_13,Col_5-Row_4,Col_5-Row_9,Col_7-Row_15
A25,Ch_20,Col_40-Row_2,Col_38-Row_7,Col_42-Row_12,Col_5-Row_5,Col_5-Row_10,Col_7-Row_16
A26,Ch_22,Col_40-Row_3,Col_38-Row_8,Col_41-Row_13,Col_5-Row_6,Col_5-Row_11,Col_8-Row_14
A27,Ch_24,Col_39-Row_1,Col_37-Row_7,Col_41-Row_12,Col_6-Row_4,Col_6-Row_9,Col_8-Row_15
A28,Ch_26,Col_39-Row_2,Col_37-Row_8,Col_40-Row_13,Col_6-Row_5,Col_6-Row_10,Col_8-Row_16
A29,Ch_28,Col_38-Row_1,Col_36-Row_6,Col_40-Row_12,Col_6-Row_6,Col_6-Row_11,Col_9-Row_14
A3,P2,P2B,P2B,P2B,P2A,P2A,P2A
A30,Ch_30,Col_39-Row_3,Col_36-Row_7,Col_39-Row_13,Col_7-Row_4,Col_7-Row_9,Col_9-Row_15
A31,Ch_32,Col_38-Row_2,Col_36-Row_8,Col_39-Row_12,Col_7-Row_5,Col_7-Row_10,Col_9-Row_16
A32,Ch_34,Col_38-Row_3,Col_35-Row_6,Col_38-Row_13,Col_7-Row_6,Col_7-Row_11,Col_10-Row_14
A33,Ch_36,Col_37-Row_1,Col_35-Row_7,Col_38-Row_12,Col_8-Row_4,Col_8-Row_9,Col_10-Row_15
A34,Ch_38,Col_37-Row_2,Col_35-Row_8,Col_37-Row_13,Col_8-Row_5,Col_8-Row_10,Col_10-Row_16
A35,Ch_40,Col_37-Row_3,Col_34-Row_6,Col_37-Row_12,Col_8-Row_6,Col_8-Row_11,Col_11-Row_14
A36,Ch_113,Col_36-Row_1,Col_34-Row_7,Col_36-Row_13,Col_9-Row_5,Col_9-Row_9,Col_11-Row_15
A37,Ch_115,Col_36-Row_2,Col_34-Row_8,Col_36-Row_12,Col_9-Row_4,Col_9-Row_10,Col_11-Row_16
