08/03/11 20:47:53   03:47:53:311     ==> DLL started
08/03/11 20:47:53   03:47:53:374     ==> usb class initialized
08/03/11 20:47:53   03:47:53:374    1 device(s) detected
08/03/11 20:47:53   03:47:53:405    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[CMD VDUT_ON]
08/03/11 20:47:53   03:47:53:436     GetResults.prx[00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:47:53   03:47:53:436     data len=0 []
08/03/11 20:47:53   03:47:53:436    GetResults=0
08/03/11 20:47:54   03:47:54:046    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[CMD VDUT_OFF]
08/03/11 20:47:54   03:47:54:077     GetResults.prx[00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:47:54   03:47:54:077     data len=0 []
08/03/11 20:47:54   03:47:54:077    GetResults=0
08/03/11 20:48:04   03:48:04:249    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[CMD VDUT_ON]
08/03/11 20:48:04   03:48:04:296     GetResults.prx[00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:04   03:48:04:296     data len=0 []
08/03/11 20:48:04   03:48:04:296    GetResults=0
08/03/11 20:48:05   03:48:05:405    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[CMD VDUT_OFF]
08/03/11 20:48:05   03:48:05:436     GetResults.prx[00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:05   03:48:05:436     data len=0 []
08/03/11 20:48:05   03:48:05:436    GetResults=0
08/03/11 20:48:10   03:48:10:718    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[CMD VDUT_ON]
08/03/11 20:48:10   03:48:10:749     GetResults.prx[00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:10   03:48:10:749     data len=0 []
08/03/11 20:48:10   03:48:10:749    GetResults=0
08/03/11 20:48:11   03:48:11:452    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x8C ACKS P]
08/03/11 20:48:11   03:48:11:483     GetResults.prx[00 90 01 8c 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:11   03:48:11:483     data len=3 [1 1]
08/03/11 20:48:11   03:48:11:483    GetResults=0
08/03/11 20:48:11   03:48:11:483    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R ACKM R ACKM P]
08/03/11 20:48:11   03:48:11:514     GetResults.prx[00 91 01 ff 00 ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:11   03:48:11:514     data len=9 [1 255 255]
08/03/11 20:48:11   03:48:11:514    GetResults=0
08/03/11 20:48:12   03:48:12:061    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x8C ACKS P]
08/03/11 20:48:12   03:48:12:093     GetResults.prx[00 90 01 8c 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:12   03:48:12:093     data len=3 [1 1]
08/03/11 20:48:12   03:48:12:093    GetResults=0
08/03/11 20:48:12   03:48:12:093    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R ACKM R ACKM P]
08/03/11 20:48:12   03:48:12:124     GetResults.prx[00 91 01 ff 00 ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:12   03:48:12:124     data len=9 [1 255 255]
08/03/11 20:48:12   03:48:12:124    GetResults=0
08/03/11 20:48:12   03:48:12:561    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x8C ACKS P]
08/03/11 20:48:12   03:48:12:593     GetResults.prx[00 90 01 8c 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:12   03:48:12:593     data len=3 [1 1]
08/03/11 20:48:12   03:48:12:593    GetResults=0
08/03/11 20:48:12   03:48:12:593    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R ACKM R ACKM P]
08/03/11 20:48:12   03:48:12:624     GetResults.prx[00 91 01 ff 00 ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:12   03:48:12:624     data len=9 [1 255 255]
08/03/11 20:48:12   03:48:12:624    GetResults=0
08/03/11 20:48:18   03:48:18:827    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[CMD VDUT_OFF]
08/03/11 20:48:18   03:48:18:858     GetResults.prx[00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:18   03:48:18:858     data len=0 []
08/03/11 20:48:18   03:48:18:858    GetResults=0
08/03/11 20:48:19   03:48:19:202    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[CMD VDUT_ON]
